cycle_num,buy_time,buy_price,sell_time,sell_price,qty,gross_pnl,cost,net_pnl
1,2026-03-24 03:45:00,5170.2,2026-03-24 03:45:00,5185.65,33,509.85,471.32,38.53
2,2026-03-24 03:45:00,5154.75,2026-03-24 03:45:00,5170.2,33,509.85,470.05,39.8
3,2026-03-24 04:30:00,5139.3,2026-03-24 05:00:00,5154.75,33,509.85,468.78,41.07
4,2026-03-24 05:15:00,5139.3,2026-03-24 05:15:00,5154.75,33,509.85,468.78,41.07
5,2026-03-24 05:00:00,5139.3,2026-03-24 05:30:00,5154.75,33,509.85,468.78,41.07
6,2026-03-24 06:00:00,5154.75,2026-03-24 06:00:00,5170.2,33,509.85,470.05,39.8
7,2026-03-24 04:00:00,5185.65,2026-03-24 06:45:00,5201.1,33,509.85,472.58,37.27
8,2026-03-24 06:45:00,5170.2,2026-03-24 06:45:00,5185.65,33,509.85,471.32,38.53
9,2026-03-24 07:00:00,5232.0,2026-03-24 07:00:00,5247.45,33,509.85,476.38,33.47
10,2026-03-24 07:00:00,5216.55,2026-03-24 07:00:00,5232.0,33,509.85,475.11,34.74
11,2026-03-24 07:30:00,5247.45,2026-03-24 07:30:00,5262.9,33,509.85,477.65,32.2
12,2026-03-24 07:45:00,5262.9,2026-03-24 07:45:00,5278.35,33,509.85,478.91,30.94
13,2026-03-24 07:15:00,5247.45,2026-03-24 07:45:00,5262.9,33,509.85,477.65,32.2
14,2026-03-24 08:15:00,5278.35,2026-03-24 08:30:00,5293.8,33,509.85,480.18,29.67
15,2026-03-24 08:30:00,5293.8,2026-03-24 08:45:00,5309.25,33,509.85,481.45,28.4
16,2026-03-24 08:45:00,5293.8,2026-03-25 03:45:00,5309.25,33,509.85,481.45,28.4
17,2026-03-24 09:00:00,5278.35,2026-03-25 03:45:00,5293.8,33,509.85,480.18,29.67
18,2026-03-25 04:15:00,5324.7,2026-03-25 04:15:00,5340.15,33,509.85,483.98,25.87
19,2026-03-25 04:00:00,5309.25,2026-03-25 04:15:00,5324.7,33,509.85,482.71,27.14
20,2026-03-25 04:30:00,5324.7,2026-03-25 04:30:00,5340.15,33,509.85,483.98,25.87
21,2026-03-25 04:45:00,5340.15,2026-03-25 04:45:00,5355.6,33,509.85,485.24,24.61
22,2026-03-25 05:45:00,5324.7,2026-03-25 08:15:00,5340.15,33,509.85,483.98,25.87
23,2026-03-24 06:30:00,5170.2,2026-03-27 03:45:00,5185.65,33,509.85,471.32,38.53
24,2026-03-27 03:45:00,5185.65,2026-03-27 04:00:00,5201.1,33,509.85,472.58,37.27
25,2026-03-24 06:15:00,5170.2,2026-03-27 04:00:00,5185.65,33,509.85,471.32,38.53
26,2026-03-24 04:15:00,5170.2,2026-03-27 04:15:00,5185.65,33,509.85,471.32,38.53
27,2026-03-27 04:00:00,5201.1,2026-04-01 03:45:00,5216.55,33,509.85,473.85,36.0
28,2026-03-27 04:00:00,5185.65,2026-04-01 03:45:00,5201.1,33,509.85,472.58,37.27
29,2026-03-27 04:15:00,5170.2,2026-04-01 03:45:00,5185.65,33,509.85,471.32,38.53
30,2026-04-01 04:15:00,5185.65,2026-04-01 04:15:00,5201.1,33,509.85,472.58,37.27
31,2026-04-01 04:15:00,5170.2,2026-04-01 04:15:00,5185.65,33,509.85,471.32,38.53
32,2026-04-01 04:00:00,5185.65,2026-04-01 04:30:00,5201.1,33,509.85,472.58,37.27
33,2026-04-01 04:45:00,5154.75,2026-04-01 05:00:00,5170.2,33,509.85,470.05,39.8
34,2026-04-01 05:30:00,5139.3,2026-04-01 06:00:00,5154.75,33,509.85,468.78,41.07
35,2026-04-01 06:00:00,5139.3,2026-04-01 06:30:00,5154.75,33,509.85,468.78,41.07
36,2026-04-01 06:45:00,5154.75,2026-04-01 07:15:00,5170.2,33,509.85,470.05,39.8
37,2026-03-25 08:30:00,5340.15,2026-04-09 03:45:00,5355.6,33,509.85,485.24,24.61
38,2026-03-25 05:15:00,5340.15,2026-04-09 04:00:00,5355.6,33,509.85,485.24,24.61
39,2026-04-09 04:00:00,5340.15,2026-04-10 03:45:00,5355.6,33,509.85,485.24,24.61
40,2026-04-09 04:00:00,5324.7,2026-04-10 03:45:00,5340.15,33,509.85,483.98,25.87
41,2026-04-10 04:00:00,5371.05,2026-04-10 04:00:00,5386.5,33,509.85,487.78,22.07
42,2026-04-10 04:15:00,5401.95,2026-04-10 04:15:00,5417.4,33,509.85,490.31,19.54
43,2026-04-10 04:30:00,5355.6,2026-04-10 04:45:00,5371.05,33,509.85,486.51,23.34
44,2026-04-10 05:45:00,5371.05,2026-04-10 06:00:00,5386.5,33,509.85,487.78,22.07
45,2026-04-10 04:30:00,5371.05,2026-04-10 06:15:00,5386.5,33,509.85,487.78,22.07
46,2026-04-10 06:45:00,5417.4,2026-04-10 06:45:00,5432.85,33,509.85,491.58,18.27
47,2026-04-10 06:45:00,5401.95,2026-04-10 06:45:00,5417.4,33,509.85,490.31,19.54
48,2026-04-10 07:00:00,5448.3,2026-04-10 07:00:00,5463.75,33,509.85,494.11,15.74
49,2026-04-10 08:15:00,5463.75,2026-04-10 09:30:00,5479.2,33,509.85,495.37,14.48
50,2026-04-13 03:45:00,5309.25,2026-04-13 03:45:00,5324.7,33,509.85,482.71,27.14
51,2026-04-13 04:00:00,5324.7,2026-04-13 04:15:00,5340.15,33,509.85,483.98,25.87
52,2026-04-13 04:45:00,5324.7,2026-04-15 03:45:00,5340.15,33,509.85,483.98,25.87
53,2026-04-15 03:45:00,5293.8,2026-04-15 04:00:00,5309.25,33,509.85,481.45,28.4
54,2026-04-15 04:00:00,5278.35,2026-04-15 07:45:00,5293.8,33,509.85,480.18,29.67
55,2026-04-15 08:00:00,5309.25,2026-04-16 03:45:00,5324.7,33,509.85,482.71,27.14
56,2026-04-01 04:30:00,5170.2,2026-04-16 05:45:00,5185.65,33,509.85,471.32,38.53
57,2026-04-01 07:30:00,5154.75,2026-04-16 06:15:00,5170.2,33,509.85,470.05,39.8
58,2026-04-01 05:15:00,5154.75,2026-04-16 06:30:00,5170.2,33,509.85,470.05,39.8
59,2026-04-16 05:45:00,5185.65,2026-04-17 03:45:00,5201.1,33,509.85,472.58,37.27
60,2026-04-16 06:45:00,5170.2,2026-04-17 03:45:00,5185.65,33,509.85,471.32,38.53
61,2026-04-17 04:00:00,5201.1,2026-04-17 04:00:00,5216.55,33,509.85,473.85,36.0
62,2026-04-17 04:00:00,5185.65,2026-04-17 04:00:00,5201.1,33,509.85,472.58,37.27
63,2026-04-16 06:15:00,5170.2,2026-04-17 04:00:00,5185.65,33,509.85,471.32,38.53
64,2026-04-17 04:30:00,5216.55,2026-04-17 04:30:00,5232.0,33,509.85,475.11,34.74
