cycle_num,buy_time,buy_price,sell_time,sell_price,qty,gross_pnl,cost,net_pnl
1,2026-03-24 04:00:00,2386.95,2026-03-24 04:45:00,2393.55,125,825.0,788.83,36.17
2,2026-03-24 04:30:00,2380.35,2026-03-24 04:45:00,2386.95,125,825.0,786.78,38.22
3,2026-03-24 05:30:00,2386.95,2026-03-24 05:30:00,2393.55,125,825.0,788.83,36.17
4,2026-03-24 05:45:00,2400.15,2026-03-24 05:45:00,2406.75,125,825.0,792.93,32.07
5,2026-03-24 03:45:00,2393.55,2026-03-24 05:45:00,2400.15,125,825.0,790.88,34.12
6,2026-03-24 06:00:00,2419.95,2026-03-24 06:00:00,2426.55,125,825.0,799.07,25.93
7,2026-03-24 06:15:00,2426.55,2026-03-24 06:15:00,2433.15,125,825.0,801.12,23.88
8,2026-03-24 06:30:00,2426.55,2026-03-24 06:45:00,2433.15,125,825.0,801.12,23.88
9,2026-03-24 07:00:00,2419.95,2026-03-24 08:15:00,2426.55,125,825.0,799.07,25.93
10,2026-03-24 05:00:00,2386.95,2026-03-25 03:45:00,2393.55,125,825.0,788.83,36.17
11,2026-03-25 03:45:00,2393.55,2026-03-25 04:15:00,2400.15,125,825.0,790.88,34.12
12,2026-03-25 04:45:00,2413.35,2026-03-25 04:45:00,2419.95,125,825.0,797.02,27.98
13,2026-03-25 06:00:00,2413.35,2026-03-27 07:00:00,2419.95,125,825.0,797.02,27.98
14,2026-03-24 06:45:00,2426.55,2026-04-01 03:45:00,2433.15,125,825.0,801.12,23.88
15,2026-03-24 08:15:00,2419.95,2026-04-01 03:45:00,2426.55,125,825.0,799.07,25.93
16,2026-03-27 07:45:00,2413.35,2026-04-01 03:45:00,2419.95,125,825.0,797.02,27.98
17,2026-04-01 04:00:00,2439.75,2026-04-01 04:00:00,2446.35,125,825.0,805.22,19.78
18,2026-04-01 04:15:00,2452.95,2026-04-01 04:15:00,2459.55,125,825.0,809.32,15.68
19,2026-04-01 04:30:00,2459.55,2026-04-01 04:45:00,2466.15,125,825.0,811.37,13.63
20,2026-04-01 04:45:00,2452.95,2026-04-01 05:00:00,2459.55,125,825.0,809.32,15.68
21,2026-04-01 05:45:00,2446.35,2026-04-01 05:45:00,2452.95,125,825.0,807.27,17.73
22,2026-04-01 06:00:00,2446.35,2026-04-02 08:00:00,2452.95,125,825.0,807.27,17.73
23,2026-04-01 05:30:00,2446.35,2026-04-02 08:15:00,2452.95,125,825.0,807.27,17.73
24,2026-04-02 08:30:00,2439.75,2026-04-02 08:30:00,2446.35,125,825.0,805.22,19.78
25,2026-04-02 08:45:00,2452.95,2026-04-02 08:45:00,2459.55,125,825.0,809.32,15.68
26,2026-04-01 04:45:00,2459.55,2026-04-02 09:00:00,2466.15,125,825.0,811.37,13.63
27,2026-04-02 08:15:00,2439.75,2026-04-02 09:45:00,2446.35,125,825.0,805.22,19.78
28,2026-04-02 09:00:00,2459.55,2026-04-06 03:45:00,2466.15,125,825.0,811.37,13.63
29,2026-04-02 09:00:00,2452.95,2026-04-06 03:45:00,2459.55,125,825.0,809.32,15.68
30,2026-04-02 09:45:00,2446.35,2026-04-06 03:45:00,2452.95,125,825.0,807.27,17.73
31,2026-04-06 03:45:00,2459.55,2026-04-06 04:00:00,2466.15,125,825.0,811.37,13.63
32,2026-04-06 03:45:00,2452.95,2026-04-06 04:00:00,2459.55,125,825.0,809.32,15.68
33,2026-04-06 04:00:00,2452.95,2026-04-06 04:30:00,2459.55,125,825.0,809.32,15.68
34,2026-04-06 05:45:00,2452.95,2026-04-06 06:30:00,2459.55,125,825.0,809.32,15.68
35,2026-04-06 06:45:00,2459.55,2026-04-06 06:45:00,2466.15,125,825.0,811.37,13.63
36,2026-04-06 05:30:00,2452.95,2026-04-06 06:45:00,2459.55,125,825.0,809.32,15.68
37,2026-04-06 07:15:00,2459.55,2026-04-06 07:15:00,2466.15,125,825.0,811.37,13.63
38,2026-04-06 07:30:00,2472.75,2026-04-06 07:30:00,2479.35,125,825.0,815.46,9.54
39,2026-04-06 07:45:00,2472.75,2026-04-07 03:45:00,2479.35,125,825.0,815.46,9.54
40,2026-04-06 07:00:00,2459.55,2026-04-07 03:45:00,2466.15,125,825.0,811.37,13.63
41,2026-04-06 05:15:00,2459.55,2026-04-07 04:00:00,2466.15,125,825.0,811.37,13.63
