symbol,entry_date,exit_date,exit_reason,days_active,range_low,range_high,grid_gap,order_qty,capital,total_cycles,gross_pnl,total_cost,net_pnl,max_drawdown
PIDILITIND,2026-04-07,2026-04-17,INVENTORY_SOLD_OUT,10,1276.78,1514.93,10.05,222,1000000,10,22311.0,8055.28,14255.72,35113.58
HEROMOTOCO,2026-04-07,2026-04-21,NO_TRADE_TIMEOUT (11d),14,5034.9,5890.05,42.55,88,1000000,11,5742.0,13343.41,-7601.41,59312.0
PIRAMALFIN,2026-04-07,2026-04-21,NO_TRADE_TIMEOUT (11d),14,1681.12,1909.3,17.9,168,1000000,10,-13742.4,7721.36,-21463.76,78266.07
RRKABEL,2026-04-07,2026-04-27,INVENTORY_SOLD_OUT,20,1299.63,1558.1,12.45,218,1000000,35,94993.5,28699.23,66294.27,63201.84
PIDILITIND,2026-04-20,2026-05-04,NO_TRADE_TIMEOUT (11d),14,1276.78,1514.93,8.95,163,1000000,12,-21532.3,7378.27,-28910.57,42971.47
PIRAMALFIN,2026-04-27,2026-05-05,INVENTORY_SOLD_OUT,8,1681.12,1909.3,16.55,168,1000000,6,16682.4,5022.55,11659.85,5345.55
HEROMOTOCO,2026-04-27,2026-05-06,INVENTORY_SOLD_OUT,9,5034.9,5890.05,29.65,88,1000000,15,39138.0,17477.23,21660.77,34782.97
TATACAP,2026-04-07,2026-05-08,NO_TRADE_TIMEOUT (11d),31,304.97,363.93,2.2,931,1000000,46,36541.75,37512.05,-970.3,50403.93
RRKABEL,2026-04-28,2026-05-11,NO_TRADE_TIMEOUT (11d),13,1299.63,1558.1,13.6,217,1000000,3,84879.55,2705.72,82173.83,13931.4
NAUKRI,2026-05-21,2026-05-26,SIM_END,5,921.44,1081.1,6.5,481,1000000,24,69504.5,28497.42,41007.08,33799.33
HEROMOTOCO,2026-05-21,2026-05-26,SIM_END,5,4923.0,5767.7,35.5,57,1000000,12,14307.0,9035.71,5271.29,8625.41
ASTRAL,2026-05-21,2026-05-26,SIM_END,5,1458.88,1694.47,12.45,194,1000000,16,31137.0,12715.63,18421.37,11581.64
