symbol,entry_date,exit_date,exit_reason,days_active,range_low,range_high,grid_gap,order_qty,capital,grid_cycles,exit_cycles,gross_pnl,total_cost,net_pnl,exit_pnl,max_drawdown
MAXHEALTH,2026-04-08,2026-04-17,INVENTORY_SOLD_OUT,9,933.56,1095.84,7.55,304,1000000,10,0,22952.0,7788.9,15163.1,0,6064.8
INDUSTOWER,2026-04-17,2026-04-21,INVENTORY_SOLD_OUT,4,409.98,477.0,3.3,1081,1000000,2,0,7134.6,2310.26,4824.34,0,18416.4
PATANJALI,2026-04-08,2026-04-22,INVENTORY_SOLD_OUT,14,461.44,553.08,3.95,614,1000000,9,0,21827.7,6816.9,15010.8,0,19463.8
BIOCON,2026-04-08,2026-05-05,INVENTORY_SOLD_OUT,27,346.15,398.46,3.2,820,1000000,15,0,39360.0,11605.92,27754.08,0,17835.32
PATANJALI,2026-04-30,2026-05-13,BREAKDOWN,13,456.12,536.98,2.85,623,1000000,6,3,-12335.4,6801.29,-19136.69,-25242.32,37550.55
WIPRO,2026-05-13,2026-05-18,INVENTORY_SOLD_OUT,5,187.66,217.03,0.85,2367,1000000,7,0,14083.65,8132.88,5950.77,0,6575.21
LENSKART,2026-05-13,2026-05-19,INVENTORY_SOLD_OUT,6,473.73,548.1,5.0,935,1000000,7,0,32725.0,8137.9,24587.1,0,33918.7
SAMMAANCAP,2026-05-19,2026-05-22,INVENTORY_SOLD_OUT,3,136.96,157.4,1.3,3231,1000000,10,0,42003.0,12474.55,29528.45,0,7559.81
INDUSTOWER,2026-04-30,2026-05-25,INVENTORY_SOLD_OUT,25,402.99,477.0,2.8,517,1000000,27,0,39085.2,15775.47,23309.73,0,21294.18
TATACAP,2026-05-13,2026-05-25,INVENTORY_SOLD_OUT,12,304.49,357.76,1.7,1457,1000000,4,0,9907.6,4677.6,5230.0,0,34788.83
HEROMOTOCO,2026-05-13,2026-05-27,SIM_END,14,4949.57,5800.25,41.55,57,1000000,8,2,11995.65,7570.17,4425.48,-8482.48,19134.79
TCS,2026-05-18,2026-05-27,SIM_END,9,2268.16,2720.31,14.15,125,1000000,2,3,-25431.25,3868.12,-29299.37,-31278.77,33245.63
