date,equity,active_slots,available_capital,day_cycles,active_symbols
2026-04-08,5000000.0,3,2000000,0,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-09,4986665.53,3,2000000,2,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-10,5007490.28,3,2000000,4,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-13,4997170.97,3,2000000,1,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-15,5007206.77,3,2000000,0,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-16,5013827.47,3,2000000,3,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-17,5022298.23,3,2007459.74,4,"MAXHEALTH,PATANJALI,INDUSTOWER"
2026-04-20,4998813.56,3,2007459.74,1,"MAXHEALTH,PATANJALI,INDUSTOWER"
2026-04-21,5032011.41,2,3012284.07,4,"MAXHEALTH,PATANJALI"
2026-04-22,5034950.53,1,4027294.88,1,MAXHEALTH
2026-04-23,5034950.53,1,4027294.88,0,MAXHEALTH
2026-04-24,5034950.53,1,4027294.88,0,MAXHEALTH
2026-04-27,5034950.53,1,4027294.88,0,MAXHEALTH
2026-04-28,5034950.53,1,4027294.88,0,MAXHEALTH
2026-04-29,5034950.53,1,4027294.88,0,MAXHEALTH
2026-04-30,5036486.22,3,2027294.88,1,"MAXHEALTH,PATANJALI,INDUSTOWER"
2026-05-04,5015386.67,3,2027294.88,1,"MAXHEALTH,PATANJALI,INDUSTOWER"
2026-05-05,5021844.0,3,2027294.88,1,"MAXHEALTH,PATANJALI,INDUSTOWER"
2026-05-06,5035298.93,3,2027294.88,4,"MAXHEALTH,PATANJALI,INDUSTOWER"
2026-05-07,5030721.19,3,2027294.88,1,"MAXHEALTH,PATANJALI,INDUSTOWER"
2026-05-08,5036222.02,3,2027294.88,3,"MAXHEALTH,PATANJALI,INDUSTOWER"
2026-05-11,5035064.28,3,2027294.88,2,"MAXHEALTH,PATANJALI,INDUSTOWER"
2026-05-12,5004067.91,3,2027294.88,0,"MAXHEALTH,PATANJALI,INDUSTOWER"
2026-05-13,5023490.53,5,8158.19,2,"MAXHEALTH,INDUSTOWER,WIPRO,TATACAP,LENSKART"
2026-05-14,5022927.38,4,1016069.5,5,"MAXHEALTH,WIPRO,TATACAP,LENSKART"
2026-05-15,5022472.92,4,1016069.5,4,"MAXHEALTH,WIPRO,TATACAP,LENSKART"
2026-05-18,5022952.42,4,1016069.5,1,"MAXHEALTH,WIPRO,TATACAP,LENSKART"
2026-05-19,5029000.43,5,33678.15,1,"MAXHEALTH,WIPRO,TATACAP,SAMMAANCAP,RELIANCE"
2026-05-20,5026612.06,5,33678.15,2,"MAXHEALTH,WIPRO,TATACAP,SAMMAANCAP,RELIANCE"
2026-05-21,5018452.86,5,33678.15,0,"MAXHEALTH,WIPRO,TATACAP,SAMMAANCAP,RELIANCE"
2026-05-22,5023989.46,5,33678.15,0,"MAXHEALTH,WIPRO,TATACAP,SAMMAANCAP,RELIANCE"
2026-05-25,5054551.53,5,38908.15,2,"MAXHEALTH,WIPRO,SAMMAANCAP,RELIANCE,HEROMOTOCO"
2026-05-26,5056836.76,5,38908.15,2,"MAXHEALTH,WIPRO,SAMMAANCAP,RELIANCE,HEROMOTOCO"
2026-05-27,5056970.08,5,38908.15,0,"MAXHEALTH,WIPRO,SAMMAANCAP,RELIANCE,HEROMOTOCO"
