symbol,fyers_symbol,industry,cmp,avg_volume,avg_turnover,data_days,range_low,range_high,range_width_pts,range_width_pct,support_touches,resistance_touches,containment_pct,range_valid,range_watch,range_position,in_bottom_zone,below_range,above_range,breakdown,breakout,strong_downtrend,avg_bar_range_15m,avg_bar_range_5m,grid_gap_pts,total_grid_levels,grids_to_bottom,order_qty,order_value,gross_cycle_profit,round_trip_cost,net_cycle_profit,allocated_capital,cash_reserve,max_downside_buy_value,initial_buy_value,initial_buy_qty,initial_buy_used_value,unused_cash,entry_status,grid_status,final_status,final_reason,candidate_score
TCS,NSE:TCS-EQ,Information Technology,2276.2,4139705,10140456118,60,2268.16,2647.84,379.68,16.74,5,5,96.7,True,False,0.0212,True,False,False,False,False,False,8.7815,4.9286,6.6,58,2,125,284525.0,825.0,753.8,71.2,1000000,709828.12,567862.5,290171.88,127,289077.4,1094.48,ENTRY_VALID,GRID_VALID,TRADE_READY,qty=125 gap=6.6 net=₹71,87.7
HEROMOTOCO,NSE:HEROMOTOCO-EQ,Automobile and Auto Components,4983.0,584763,3066835578,60,4923.0,5767.7,844.7,17.16,12,4,96.7,True,False,0.071,True,False,False,False,False,False,20.6327,11.6533,15.45,55,4,33,164439.0,509.85,455.57,54.28,1000000,816118.88,652895.1,183881.12,36,179388.0,4493.12,ENTRY_VALID,GRID_VALID,TRADE_READY,qty=33 gap=15.45 net=₹54,58.59
JUBLFOOD,NSE:JUBLFOOD-EQ,Consumer Services,430.05,3353862,1529049508,60,425.5,525.03,99.53,23.39,6,2,95.0,False,True,0.0457,True,False,False,False,False,False,2.4402,1.3625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 23.39% > 20.0% (watch zone),58.88
NMDC,NSE:NMDC-EQ,Metals & Mining,90.67,24147178,2037663010,60,75.98,92.1,16.12,21.22,6,6,93.3,False,True,0.9113,False,False,False,False,False,False,0.4202,0.2374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 21.22% > 20.0% (watch zone),54.12
LEMONTREE,NSE:LEMONTREE-EQ,Consumer Services,117.21,5618844,647563797,60,100.8,122.93,22.13,21.95,5,8,96.7,False,True,0.7415,False,False,False,False,False,False,0.5072,0.2897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 21.95% > 20.0% (watch zone),54.02
HAVELLS,NSE:HAVELLS-EQ,Consumer Durables,1201.0,1133238,1443884901,60,1176.26,1417.04,240.78,20.47,7,6,96.7,False,True,0.1027,False,False,False,False,False,False,4.1778,2.4158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 20.47% > 20.0% (watch zone),52.77
DELHIVERY,NSE:DELHIVERY-EQ,Services,463.5,2692225,1215002318,60,401.32,483.55,82.23,20.49,6,5,96.7,False,True,0.7562,False,False,False,False,False,False,2.3027,1.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 20.49% > 20.0% (watch zone),52.76
SWIGGY,NSE:SWIGGY-EQ,Consumer Services,253.9,10869194,3009056640,60,249.29,308.67,59.38,23.82,6,2,95.0,False,True,0.0776,True,False,False,False,False,False,1.4331,0.8167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 23.82% > 20.0% (watch zone),52.69
APLAPOLLO,NSE:APLAPOLLO-EQ,Capital Goods,1874.1,706503,1410451967,60,1839.98,2234.12,394.13,21.42,9,5,100.0,False,True,0.0866,True,False,False,False,False,False,8.5302,4.7384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 21.42% > 20.0% (watch zone),52.64
AWL,NSE:AWL-EQ,Fast Moving Consumer Goods,193.06,4447481,836270025,60,173.02,210.05,37.03,21.4,6,6,96.7,False,True,0.5412,False,False,False,False,False,False,0.9235,0.5224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 21.40% > 20.0% (watch zone),52.3
INDIANB,NSE:INDIANB-EQ,Financial Services,833.55,2275521,2019475323,60,806.84,990.78,183.94,22.8,7,5,98.3,False,True,0.1452,False,False,False,False,False,False,3.8998,2.1744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 22.80% > 20.0% (watch zone),51.6
JWL,NSE:JWL-EQ,Capital Goods,289.75,4868210,1380571672,60,246.58,305.62,59.04,23.94,5,5,96.7,False,True,0.7312,False,False,False,False,False,False,1.648,0.9585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 23.94% > 20.0% (watch zone),51.03
KFINTECH,NSE:KFINTECH-EQ,Financial Services,837.05,1138417,1027279367,60,808.86,1004.2,195.34,24.15,6,5,98.3,False,True,0.1443,False,False,False,False,False,False,4.5213,2.5236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 24.15% > 20.0% (watch zone),50.92
ASIANPAINT,NSE:ASIANPAINT-EQ,Consumer Durables,2647.0,1256578,2990983481,60,2145.86,2664.32,518.47,24.16,6,8,98.3,False,True,0.9666,False,False,False,False,False,False,9.7364,5.6464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 24.16% > 20.0% (watch zone),50.92
JSWENERGY,NSE:JSWENERGY-EQ,Power,576.0,4056721,2121407278,60,466.29,579.0,112.71,24.17,6,5,98.3,False,True,0.9734,False,False,False,False,False,False,2.9153,1.6176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 24.17% > 20.0% (watch zone),50.91
RECLTD,NSE:RECLTD-EQ,Financial Services,337.6,7705159,2662977326,60,312.01,384.63,72.62,23.27,4,6,98.3,False,True,0.3524,False,False,False,False,False,False,1.2927,0.7336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 23.27% > 20.0% (watch zone),50.37
STARHEALTH,NSE:STARHEALTH-EQ,Financial Services,524.05,618811,306873639,60,442.48,534.53,92.05,20.8,6,8,96.7,False,True,0.8861,False,False,False,False,False,False,2.5029,1.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 20.80% > 20.0% (watch zone),49.6
SJVN,NSE:SJVN-EQ,Power,73.79,5535162,407072721,60,65.8,81.48,15.68,23.84,4,5,91.7,False,True,0.5096,False,False,False,False,False,False,0.3644,0.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 23.84% > 20.0% (watch zone),49.56
DLF,NSE:DLF-EQ,Realty,589.8,4577934,2598982940,60,511.8,619.95,108.16,21.13,4,6,96.7,False,True,0.7212,False,False,False,False,False,False,2.7371,1.5565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 21.13% > 20.0% (watch zone),49.44
CUMMINSIND,NSE:CUMMINSIND-EQ,Capital Goods,5418.5,685015,3347380154,60,4477.7,5430.6,952.9,21.28,5,9,98.3,False,True,0.9873,False,False,False,False,False,False,23.1164,13.1891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 21.28% > 20.0% (watch zone),49.36
PERSISTENT,NSE:PERSISTENT-EQ,Information Technology,5105.8,779624,3845552997,60,4550.68,5505.36,954.68,20.98,8,5,93.3,False,True,0.5815,False,False,False,False,False,False,26.5749,14.9194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 20.98% > 20.0% (watch zone),49.24
FIRSTCRY,NSE:FIRSTCRY-EQ,Consumer Services,237.11,5894514,1397065736,60,208.65,259.24,50.59,24.25,10,3,96.7,False,True,0.5626,False,False,False,False,False,False,1.4958,0.8301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 24.25% > 20.0% (watch zone),48.88
NBCC,NSE:NBCC-EQ,Construction,95.55,12303620,1113270313,60,79.96,99.51,19.55,24.45,5,3,95.0,False,True,0.7974,False,False,False,False,False,False,0.5345,0.2904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 24.45% > 20.0% (watch zone),48.77
OBEROIRLTY,NSE:OBEROIRLTY-EQ,Realty,1693.7,580445,913020320,60,1413.7,1737.06,323.36,22.87,5,11,96.7,False,True,0.8659,False,False,False,False,False,False,7.6975,4.3653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 22.87% > 20.0% (watch zone),48.56
INDIACEM,NSE:INDIACEM-EQ,Construction Materials,404.6,751270,316173689,60,347.39,429.8,82.42,23.72,7,6,96.7,False,True,0.6941,False,False,False,False,False,False,1.9878,1.0137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 23.72% > 20.0% (watch zone),48.14
