symbol,fyers_symbol,industry,cmp,avg_volume,avg_turnover,data_days,range_low,range_high,range_width_pts,range_width_pct,support_touches,resistance_touches,containment_pct,range_valid,range_watch,range_position,in_bottom_zone,below_range,above_range,breakdown,breakout,strong_downtrend,avg_bar_range_15m,avg_bar_range_5m,grid_gap_pts,total_grid_levels,grids_to_bottom,order_qty,order_value,gross_cycle_profit,round_trip_cost,net_cycle_profit,allocated_capital,cash_reserve,max_downside_buy_value,initial_buy_value,initial_buy_qty,initial_buy_used_value,unused_cash,entry_status,grid_status,final_status,final_reason,candidate_score
JUBLFOOD,NSE:JUBLFOOD-EQ,Consumer Services,430.05,3353862,1529049508,60,425.5,525.03,99.53,23.39,6,2,95.0,False,True,0.0457,True,False,False,False,False,False,2.4402,1.3625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 23.39% > 20.0% (watch zone),58.88
NMDC,NSE:NMDC-EQ,Metals & Mining,90.67,24147178,2037663010,60,75.98,92.1,16.12,21.22,6,6,93.3,False,True,0.9113,False,False,False,False,False,False,0.4202,0.2374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 21.22% > 20.0% (watch zone),54.12
LEMONTREE,NSE:LEMONTREE-EQ,Consumer Services,117.21,5618844,647563797,60,100.8,122.93,22.13,21.95,5,8,96.7,False,True,0.7415,False,False,False,False,False,False,0.5072,0.2897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 21.95% > 20.0% (watch zone),54.02
HAVELLS,NSE:HAVELLS-EQ,Consumer Durables,1201.0,1133238,1443884901,60,1176.26,1417.04,240.78,20.47,7,6,96.7,False,True,0.1027,False,False,False,False,False,False,4.1778,2.4158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 20.47% > 20.0% (watch zone),52.77
DELHIVERY,NSE:DELHIVERY-EQ,Services,463.5,2692225,1215002318,60,401.32,483.55,82.23,20.49,6,5,96.7,False,True,0.7562,False,False,False,False,False,False,2.3027,1.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 20.49% > 20.0% (watch zone),52.76
SWIGGY,NSE:SWIGGY-EQ,Consumer Services,253.9,10869194,3009056640,60,249.29,308.67,59.38,23.82,6,2,95.0,False,True,0.0776,True,False,False,False,False,False,1.4331,0.8167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 23.82% > 20.0% (watch zone),52.69
APLAPOLLO,NSE:APLAPOLLO-EQ,Capital Goods,1874.1,706503,1410451967,60,1839.98,2234.12,394.13,21.42,9,5,100.0,False,True,0.0866,True,False,False,False,False,False,8.5302,4.7384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 21.42% > 20.0% (watch zone),52.64
AWL,NSE:AWL-EQ,Fast Moving Consumer Goods,193.06,4447481,836270025,60,173.02,210.05,37.03,21.4,6,6,96.7,False,True,0.5412,False,False,False,False,False,False,0.9235,0.5224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 21.40% > 20.0% (watch zone),52.3
INDIANB,NSE:INDIANB-EQ,Financial Services,833.55,2275521,2019475323,60,806.84,990.78,183.94,22.8,7,5,98.3,False,True,0.1452,False,False,False,False,False,False,3.8998,2.1744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 22.80% > 20.0% (watch zone),51.6
JWL,NSE:JWL-EQ,Capital Goods,289.75,4868210,1380571672,60,246.58,305.62,59.04,23.94,5,5,96.7,False,True,0.7312,False,False,False,False,False,False,1.648,0.9585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 23.94% > 20.0% (watch zone),51.03
KFINTECH,NSE:KFINTECH-EQ,Financial Services,837.05,1138417,1027279367,60,808.86,1004.2,195.34,24.15,6,5,98.3,False,True,0.1443,False,False,False,False,False,False,4.5213,2.5236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 24.15% > 20.0% (watch zone),50.92
ASIANPAINT,NSE:ASIANPAINT-EQ,Consumer Durables,2647.0,1256578,2990983481,60,2145.86,2664.32,518.47,24.16,6,8,98.3,False,True,0.9666,False,False,False,False,False,False,9.7364,5.6464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 24.16% > 20.0% (watch zone),50.92
JSWENERGY,NSE:JSWENERGY-EQ,Power,576.0,4056721,2121407278,60,466.29,579.0,112.71,24.17,6,5,98.3,False,True,0.9734,False,False,False,False,False,False,2.9153,1.6176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 24.17% > 20.0% (watch zone),50.91
RECLTD,NSE:RECLTD-EQ,Financial Services,337.6,7705159,2662977326,60,312.01,384.63,72.62,23.27,4,6,98.3,False,True,0.3524,False,False,False,False,False,False,1.2927,0.7336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 23.27% > 20.0% (watch zone),50.37
