week_end_date,effective_from_date,weekly_open,weekly_high,weekly_low,weekly_close,smma_5,atr_14,previous_10_week_low,previous_market_state,market_state,buy_allowed,force_exit_all,cancel_pending_buys,below_lower_count,lower_band,upper_band,transition,reason,action_taken
2022-12-23,2022-12-26,18288.1,18473.3,17779.5,17806.8,18129.085285220255,463.93387345486707,16950.3,ON,OFF,False,False,True,1,17897.118348492822,18198.675366238484,ON_TO_OFF,LOWER_BAND_BREAK,Block new purchases and cancel pending buys
2023-01-27,2023-01-30,18118.4,18201.2,17493.6,17604.3,17956.264202260973,468.27474727174337,17761.7,OFF,OFF,False,True,True,1,17722.1268286251,18026.505414351734,NONE,EMERGENCY_10_WEEK_LOW_BREAK,Force-exit all open positions; block new buys
2023-03-17,2023-03-20,17421.9,17529.9,16850.2,17100.1,17588.655344509996,479.5544202045661,17255.2,OFF,OFF,False,True,True,2,17348.878134407714,17660.58850754068,NONE,EMERGENCY_10_WEEK_LOW_BREAK,Force-exit all open positions; block new buys
2023-03-24,2023-03-27,17066.6,17207.2,16828.3,16945.1,17459.944275607995,472.36481876138294,16850.2,OFF,OFF,False,True,False,3,17223.761866227305,17530.798998422204,NONE,CONFIRMED_LOWER_BAND_BREAK,Force-exit all open positions; block new buys
2023-04-06,2023-04-10,17427.9,17638.7,17312.8,17599.2,17471.772336389116,461.60027740139657,16828.3,OFF,ON,True,False,False,0,17240.972197688418,17541.012377999326,OFF_TO_ON,UPPER_BAND_RECLAIM,Allow fresh buy signals
2023-10-27,2023-10-30,19521.6,19556.8,18837.8,19047.2,19505.26885852027,386.69368858065627,19223.7,ON,OFF,False,True,True,1,19311.922014229942,19563.27291180737,ON_TO_OFF,EMERGENCY_10_WEEK_LOW_BREAK,Force-exit all open positions; block new buys
2023-11-03,2023-11-06,19053.4,19276.2,18940.0,19230.6,19450.335086816216,383.08699653918086,18837.8,OFF,OFF,False,True,False,2,19258.791588546625,19507.798136297093,NONE,CONFIRMED_LOWER_BAND_BREAK,Force-exit all open positions; block new buys
2023-11-17,2023-11-20,19547.2,19875.2,19414.8,19731.8,19502.62245556238,378.7076653832736,18837.8,OFF,ON,True,False,False,0,19313.268622870746,19559.42860536987,OFF_TO_ON,UPPER_BAND_RECLAIM,Allow fresh buy signals
2024-10-25,2024-10-28,24956.15,24978.3,24073.9,24180.8,24894.17287976538,622.1681799537671,24099.7,ON,OFF,False,False,True,1,24583.088789788497,24987.498106758445,ON_TO_OFF,LOWER_BAND_BREAK,Block new purchases and cancel pending buys
2024-11-01,2024-11-04,24251.1,24498.2,24134.9,24304.35,24776.208303812302,603.6775956713552,24073.9,OFF,OFF,False,True,False,2,24474.369505976625,24866.759943163004,NONE,CONFIRMED_LOWER_BAND_BREAK,Force-exit all open positions; block new buys
2024-11-08,2024-11-11,24315.75,24537.6,23816.15,24148.2,24650.60664304984,612.0899102662582,24073.9,OFF,OFF,False,True,False,3,24344.56168791671,24742.420129589776,NONE,CONFIRMED_LOWER_BAND_BREAK,Force-exit all open positions; block new buys
2024-11-14,2024-11-18,24087.25,24336.8,23484.15,23532.7,24427.02531443987,629.2727738186683,23816.15,OFF,OFF,False,True,True,4,24112.388927530537,24521.41623051267,NONE,EMERGENCY_10_WEEK_LOW_BREAK,Force-exit all open positions; block new buys
2024-11-22,2024-11-25,23605.3,23956.1,23263.15,23907.25,24323.070251551897,633.8211471173346,23484.15,OFF,OFF,False,True,False,5,24006.15967799323,24418.1434236195,NONE,CONFIRMED_LOWER_BAND_BREAK,Force-exit all open positions; block new buys
2024-12-06,2024-12-09,24140.85,24857.75,24008.65,24677.8,24363.300960993212,639.0753768511711,23263.15,OFF,ON,True,False,False,0,24043.763272567627,24459.16226752089,OFF_TO_ON,UPPER_BAND_RECLAIM,Allow fresh buy signals
2024-12-20,2024-12-23,24753.4,24781.25,23537.35,23587.5,24272.94061503566,680.4481565706527,23263.15,ON,OFF,False,False,True,1,23932.716536750333,24375.00783852126,ON_TO_OFF,LOWER_BAND_BREAK,Block new purchases and cancel pending buys
2024-12-27,2024-12-30,23738.2,23938.85,23647.2,23813.4,24181.032492028527,656.9411453870346,23263.15,OFF,OFF,False,True,False,2,23852.56191933501,24279.57366383658,NONE,CONFIRMED_LOWER_BAND_BREAK,Force-exit all open positions; block new buys
2025-01-17,2025-01-20,23195.4,23391.65,23047.25,23203.2,23842.976635918607,650.0758551076221,23263.15,OFF,OFF,False,True,True,2,23517.938708364796,23940.48801418475,NONE,EMERGENCY_10_WEEK_LOW_BREAK,Force-exit all open positions; block new buys
2025-01-24,2025-01-27,23290.4,23426.3,22976.85,23092.2,23692.821308734885,635.7454368856492,23047.25,OFF,OFF,False,True,False,3,23374.94859029206,23788.183124267733,NONE,CONFIRMED_LOWER_BAND_BREAK,Force-exit all open positions; block new buys
2025-02-21,2025-02-24,22809.9,23049.95,22720.3,22795.9,23355.373368057808,628.3548553438939,22774.85,OFF,OFF,False,True,False,2,23041.19594038586,23449.62659635939,NONE,CONFIRMED_LOWER_BAND_BREAK,Force-exit all open positions; block new buys
2025-02-28,2025-03-03,22609.35,22668.05,22104.85,22124.7,23109.238694446245,632.8330799621874,22720.3,OFF,OFF,False,True,True,3,22792.82215446515,23204.163656440574,NONE,EMERGENCY_10_WEEK_LOW_BREAK,Force-exit all open positions; block new buys
