off_signal_date,off_effective_date,reentry_signal_date,reentry_effective_date,trading_days_off,nifty_return_off_pct,max_nifty_decline_off_pct,strategy_return_off_pct
2022-12-23,2022-12-26,2023-04-06,2023-04-10,71,-2.167686210074049,-5.936851220676564,-0.004761929530799999
2023-10-27,2023-10-30,2023-11-17,2023-11-20,16,2.889623789894924,-0.7925437152902948,2.0388992286487984
2024-05-10,2024-05-13,2024-05-17,2024-05-18,6,1.8003488048570215,0.0,3.4036737900406533
2024-10-04,2024-10-07,2024-12-06,2024-12-09,44,-0.712823770202553,-5.831039593478716,-1.493517104790264
2024-12-20,2024-12-23,2025-03-21,2025-03-24,64,-0.4003628946532056,-7.0339255981762605,-0.9837869193147153
2025-04-11,2025-04-15,2025-04-17,2025-04-21,4,3.416414650717692,0.0,0.4307112372279697
2025-08-01,2025-08-04,2025-08-22,2025-08-25,15,0.9909900799870641,-1.453924017352437,-0.6942639484245985
2025-08-29,2025-09-01,2025-09-12,2025-09-15,11,1.8036511600991734,-0.1845681531611132,0.09816167938370017
2025-09-26,2025-09-29,2025-10-10,2025-10-13,10,2.40492147319451,-0.0966109056663611,0.9981437358539234
2026-01-09,2026-01-12,2026-04-10,2026-04-13,61,-7.551691046034836,-13.411463634513032,-0.7740527564569073
2026-05-15,2026-05-18,2026-06-19,2026-06-22,25,1.9152260364186935,-2.2281231038543403,-1.2178835789644544
