week_end_date,effective_from_date,weekly_open,weekly_high,weekly_low,weekly_close,smma_5,atr_14,previous_10_week_low,previous_market_state,market_state,buy_allowed,force_exit_all,cancel_pending_buys,below_lower_count,lower_band,upper_band,transition,reason
2022-09-30,2022-10-03,17156.3,17196.4,16747.7,17094.3,17304.46946008064,499.37857142857166,16142.2,ON,ON,True,False,False,0,17054.780174366355,17379.376245794927,NONE,INITIAL_STATE
2022-10-07,2022-10-10,17102.1,17428.8,16855.6,17314.7,17306.51556806451,504.65153061224515,16438.8,ON,ON,True,False,False,0,17054.18980275839,17382.213297656348,NONE,NO_CHANGE
2022-10-14,2022-10-17,17094.3,17348.6,16950.3,17185.7,17282.352454451608,497.0549927113704,16747.7,ON,ON,True,False,False,0,17033.824958095924,17356.910703358313,NONE,NO_CHANGE
2022-10-21,2022-10-24,17144.8,17670.2,17098.6,17576.3,17341.141963561287,502.3796360891298,16747.7,ON,ON,True,False,False,0,17089.952145516723,17416.498908974656,NONE,NO_CHANGE
2022-10-28,2022-10-31,17736.3,17838.9,17637.0,17786.8,17430.27357084903,485.2525192256207,16747.7,ON,ON,True,False,False,0,17187.64731123622,17503.06144873287,NONE,NO_CHANGE
2022-11-04,2022-11-07,17910.2,18178.8,17899.9,18117.2,17567.658856679223,478.5916249952192,16747.7,ON,ON,True,False,False,0,17328.363044181613,17639.447600428506,NONE,NO_CHANGE
2022-11-11,2022-11-14,18211.8,18362.3,17969.4,18349.7,17724.067085343377,472.4707946384177,16747.7,ON,ON,True,False,False,0,17487.83168802417,17794.93770453914,NONE,NO_CHANGE
2022-11-18,2022-11-21,18376.4,18442.2,18209.8,18307.7,17840.793668274702,455.32288073567366,16747.7,ON,ON,True,False,False,0,17613.132227906866,17909.092100385053,NONE,NO_CHANGE
2022-11-25,2022-11-28,18246.4,18534.9,18133.3,18512.8,17975.19493461976,451.4855321116971,16747.7,ON,ON,True,False,False,0,17749.452168563912,18042.917764436515,NONE,NO_CHANGE
2022-12-02,2022-12-05,18430.6,18887.6,18365.6,18696.1,18119.375947695808,456.52227981800445,16747.7,ON,ON,True,False,False,0,17891.114807786806,18187.854289668507,NONE,NO_CHANGE
2022-12-09,2022-12-12,18719.6,18728.6,18410.1,18496.6,18194.820758156646,446.6635455452898,16747.7,ON,ON,True,False,False,0,17971.488985384,18261.820289988438,NONE,NO_CHANGE
2022-12-16,2022-12-19,18402.2,18696.1,18255.2,18269.0,18209.656606525317,446.25186372062615,16855.6,ON,ON,True,False,False,0,17986.530674665006,18276.594386083412,NONE,NO_CHANGE
2022-12-23,2022-12-26,18288.1,18473.3,17779.5,17806.8,18129.085285220255,463.93387345486707,16950.3,ON,OFF,False,False,True,1,17897.118348492822,18198.675366238484,ON_TO_OFF,LOWER_BAND_BREAK
2022-12-30,2023-01-02,17830.4,18265.2,17774.2,18105.3,18124.328228176204,465.86716820809085,17098.6,OFF,OFF,False,False,False,0,17891.39464407216,18194.208303407417,NONE,NO_CHANGE
2023-01-06,2023-01-09,18131.7,18251.9,17795.6,17859.4,18071.342582540965,465.1837990503703,17637.0,OFF,OFF,False,False,False,0,17838.75068301578,18141.120152398522,NONE,NO_CHANGE
2023-01-13,2023-01-16,17952.6,18141.4,17761.7,17956.6,18048.39406603277,459.0778134039153,17774.2,OFF,OFF,False,False,False,0,17818.855159330815,18117.255738043357,NONE,NO_CHANGE
2023-01-20,2023-01-23,18033.2,18183.8,17853.7,18027.7,18044.255252826217,449.8651124464927,17761.7,OFF,OFF,False,False,False,0,17819.32269660297,18111.73501969319,NONE,NO_CHANGE
2023-01-27,2023-01-30,18118.4,18201.2,17493.6,17604.3,17956.264202260973,468.27474727174337,17761.7,OFF,OFF,False,True,True,1,17722.1268286251,18026.505414351734,NONE,EMERGENCY_10_WEEK_LOW_BREAK
2023-02-03,2023-02-06,17541.9,17972.2,17353.4,17854.1,17935.831361808778,479.02655103804733,17493.6,OFF,OFF,False,False,False,0,17696.318086289753,18007.685344464484,NONE,NO_CHANGE
2023-02-10,2023-02-13,17818.6,17916.9,17652.6,17856.5,17919.96508944702,463.68894024961554,17353.4,OFF,OFF,False,False,False,0,17688.120619322213,17989.518430484462,NONE,NO_CHANGE
2023-02-17,2023-02-20,17859.1,18134.8,17719.8,17944.2,17924.812071557615,460.2111588032144,17353.4,OFF,OFF,False,False,False,0,17694.70649215601,17993.843745378097,NONE,NO_CHANGE
2023-02-24,2023-02-27,17965.6,18004.3,17421.8,17465.8,17833.009657246093,468.9460760315563,17353.4,OFF,OFF,False,False,False,1,17598.536619230315,17903.351568650825,NONE,NO_CHANGE
