date,market_state,realized,unrealized,total_pnl,active
2023-01-02,NORMAL,0.0,0.0,0.0,6
2023-01-03,NORMAL,0.0,-2645.7597647746734,-2645.7597647746734,6
2023-01-04,NORMAL,0.0,-42898.05710447492,-42898.05710447492,6
2023-01-05,NORMAL,111.1111111111095,-29633.829145261232,-29522.718034150123,6
2023-01-06,NORMAL,-460.3174603174557,-32530.237772760272,-32990.55523307773,6
2023-01-09,NORMAL,1428.5714285714203,750.1747634443454,2178.7461920157657,6
2023-01-10,NORMAL,428.57142857142753,-2752.927622843359,-2324.3561942719316,6
2023-01-11,NORMAL,428.57142857142753,-36388.64463723876,-35960.07320866733,6
2023-01-12,NORMAL,428.57142857142753,-40726.81960874662,-40298.24818017519,6
2023-01-13,NORMAL,761.9047619047706,-37038.37056186318,-36276.46579995841,6
2023-01-16,NORMAL,761.9047619047706,-38377.37682535761,-37615.47206345284,6
2023-01-17,NORMAL,761.9047619047706,-13865.885216434428,-13103.980454529657,6
2023-01-18,NORMAL,2428.571428571442,15028.002901307947,17456.57432987939,6
2023-01-19,NORMAL,4333.333333333365,26144.031896673667,30477.36523000703,6
2023-01-20,NORMAL,7333.333333333379,20194.68494067085,27528.01827400423,6
2023-01-23,NORMAL,14333.333333333394,46476.370284151344,60809.70361748474,6
2023-01-24,NORMAL,15767.676767676814,32470.490480084205,48238.16724776102,7
2023-01-25,NORMAL,15767.676767676814,11892.256739077915,27659.93350675473,8
2023-01-27,NORMAL,30958.63395863404,22957.787216374825,53916.421175008865,8
2023-01-30,NORMAL,30958.63395863404,-15535.908610812214,15422.725347821826,8
2023-01-31,NORMAL,39336.150621865,22646.56958399611,61982.720205861115,8
2023-02-01,NORMAL,57161.02271946431,4101.732623982825,61262.755343447134,8
2023-02-02,NORMAL,73543.3337706064,-32298.21591127495,41245.117859331454,8
2023-02-03,NORMAL,73158.0897357412,23396.00206271492,96554.09179845612,8
2023-02-06,NORMAL,92650.77707085271,23363.671295096196,116014.4483659489,8
2023-02-07,NORMAL,92650.77707085271,11465.260549057944,104116.03761991065,8
2023-02-08,NORMAL,92578.46666520897,19045.194517979515,111623.66118318848,8
2023-02-09,NORMAL,101583.94482341438,13577.480280158808,115161.42510357319,8
2023-02-10,NORMAL,103417.27815674772,34506.241366279224,137923.51952302695,8
2023-02-13,NORMAL,104003.57426422153,43507.07124930926,147510.6455135308,8
2023-02-14,NORMAL,121238.79434380523,50255.37950050575,171494.17384431098,8
2023-02-15,NORMAL,122516.16059894924,77983.58766006376,200499.748259013,8
2023-02-16,NORMAL,136772.23545687596,94865.65644527736,231637.89190215332,8
2023-02-17,NORMAL,146504.2680847419,73795.63998428988,220299.90806903178,8
2023-02-20,NORMAL,150898.03117014136,67687.69718317146,218585.72835331282,8
2023-02-21,NORMAL,150898.03117014136,49484.84983705194,200382.8810071933,8
2023-02-22,NORMAL,150898.03117014136,22670.619460229034,173568.6506303704,8
2023-02-23,NORMAL,156625.12758887414,15856.450728280732,172481.57831715487,8
2023-02-24,NORMAL,158782.8656841122,11690.44664873142,170473.31233284363,8
2023-02-27,NORMAL,160217.3760773003,-14613.89846599783,145603.47761130246,8
2023-02-28,NORMAL,158854.28083920505,-35434.4658184445,123419.81502076055,8
2023-03-01,NORMAL,158854.28083920505,-825.3506005483796,158028.93023865667,8
2023-03-02,NORMAL,159639.9951249193,-19392.474795196205,140247.5203297231,8
2023-03-03,NORMAL,163800.96054456243,21042.403961796314,184843.36450635875,8
2023-03-06,NORMAL,181043.78203169454,37781.056609968684,218824.83864166323,8
2023-03-08,NORMAL,190164.47309820377,48075.99883922396,238240.47193742773,8
2023-03-09,NORMAL,195813.85276028182,33178.41157107774,228992.26433135956,8
2023-03-10,NORMAL,199569.04935432138,21078.261002021405,220647.3103563428,8
2023-03-13,NORMAL,199569.04935432138,-22588.034168562066,176981.01518575932,8
2023-03-14,NORMAL,199569.04935432138,-42154.66485872847,157414.3844955929,8
2023-03-15,NORMAL,197212.42185483675,-43258.39157271484,153954.0302821219,8
2023-03-16,NORMAL,200883.4347754069,-53645.69187637017,147237.74289903673,8
2023-03-17,NORMAL,200495.2754993508,-24481.71706901543,176013.55843033537,8
2023-03-20,NORMAL,200495.2754993508,-56061.892840593064,144433.38265875774,8
2023-03-21,NORMAL,196625.92805667003,-54394.46928345371,142231.45877321632,8
2023-03-22,NORMAL,194351.64234238432,-30820.043739918212,163531.5986024661,8
2023-03-23,NORMAL,194948.7137155381,-37601.534931854694,157347.1787836834,8
2023-03-24,NORMAL,194948.7137155381,-65310.23835606122,129638.47535947687,8
2023-03-27,NORMAL,195235.6543019578,-62572.96243435214,132662.69186760567,8
2023-03-28,NORMAL,195235.6543019578,-52780.26040665136,142455.39389530645,8
2023-03-29,NORMAL,194763.15467406443,-28645.538182033284,166117.61649203114,8
2023-03-31,NORMAL,194047.36699214863,10426.95037502714,204474.31736717577,8
2023-04-03,NORMAL,198453.56637666433,22553.364824833407,221006.93120149773,8
2023-04-05,NORMAL,203327.87601902348,25286.154335040483,228614.03035406396,8
2023-04-06,NORMAL,209375.7396406626,26148.873938543315,235524.6135792059,8
2023-04-10,NORMAL,243025.2684765744,41893.98390707435,284919.25238364877,7
2023-04-11,NORMAL,245606.70751126402,63110.7331898275,308717.44070109155,7
2023-04-12,NORMAL,245606.70751126402,54119.45425923643,299726.1617705005,7
2023-04-13,NORMAL,255180.9257735432,76575.77103477431,331756.6968083175,7
2023-04-17,NORMAL,275028.75717847666,72636.55585568241,347665.3130341591,7
2023-04-18,NORMAL,275028.75717847666,63266.6008984822,338295.35807695886,7
2023-04-19,NORMAL,275028.75717847666,55036.72346146949,330065.4806399462,7
2023-04-20,NORMAL,275028.75717847666,60887.63109312668,335916.3882716033,7
2023-04-21,NORMAL,281584.52460876375,56081.726039026544,337666.25064779026,6
2023-04-24,NORMAL,287236.8561264307,47662.665080118255,334899.5212065489,6
2023-04-25,NORMAL,287236.8561264307,49469.2484955297,336706.1046219604,6
2023-04-26,NORMAL,295264.81130150176,56248.69591212901,351513.5072136308,6
2023-04-27,NORMAL,296746.2179606862,69608.98107863107,366355.19903931726,6
2023-04-28,NORMAL,307325.31925190176,88189.44473150972,395514.7639834115,6
2023-05-02,NORMAL,326553.81490522117,83917.6850108754,410471.49991609657,6
2023-05-03,NORMAL,326553.81490522117,70875.59955381686,397429.41445903806,6
2023-05-04,NORMAL,326553.81490522117,68682.04291487145,395235.8578200926,6
2023-05-05,NORMAL,331807.9763544239,37725.40112775916,369533.37748218304,6
2023-05-08,NORMAL,348879.47529280063,51354.87985404527,400234.3551468459,6
2023-05-09,NORMAL,355268.2539524126,24342.665127230168,379610.91907964274,5
2023-05-10,NORMAL,358831.71396752977,16062.243062463327,374893.95702999306,5
2023-05-11,NORMAL,363728.5073159802,15753.202423249604,379481.7097392298,5
2023-05-12,NORMAL,381856.08179507084,-8171.883477376963,373684.1983176939,5
2023-05-15,NORMAL,381856.08179507084,-6358.040903347195,375498.04089172365,5
2023-05-16,NORMAL,389419.54181018804,-26287.788105630752,363131.7537045573,4
2023-05-17,NORMAL,389419.54181018804,-26842.674077490723,362576.8677326973,4
2023-05-18,NORMAL,389419.54181018804,-37799.919221835095,351619.62258835294,4
2023-05-19,NORMAL,389419.54181018804,-44764.21116354063,344655.3306466474,6
2023-05-22,NORMAL,392266.45319199166,-29323.683679683076,362942.7695123086,6
2023-05-23,NORMAL,393599.786525325,-16893.449903726738,376706.3366215982,6
2023-05-24,NORMAL,393599.786525325,-18565.77277544237,375034.0137498826,6
2023-05-25,NORMAL,397268.92232779413,-22729.235957544603,374539.68637024955,6
2023-05-26,NORMAL,398868.92232779413,6693.745811676927,405562.6681394711,6
2023-05-29,NORMAL,404986.66878208576,10549.386905019099,415536.0556871049,6
2023-05-30,NORMAL,407572.9985049607,38.87229159407434,407611.8707965547,6
2023-05-31,NORMAL,424759.2325217156,-26705.76047030228,398053.47205141326,5
2023-06-01,NORMAL,429683.21372762386,-32005.537734524594,397677.6759930993,6
2023-06-02,NORMAL,444820.06502832955,-17498.436557650202,427321.62847067934,5
2023-06-05,NORMAL,448383.25802347844,-13168.802429744246,435214.45559373416,5
2023-06-06,NORMAL,449246.5656560168,-22000.68753863714,427245.8781173797,4
2023-06-07,NORMAL,451707.67676712794,-3115.3533158030477,448592.3234513249,4
2023-06-08,NORMAL,457589.61831298127,-20560.793466645497,437028.8248463358,4
2023-06-09,NORMAL,457589.61831298127,-36702.431856155046,420887.1864568262,4
2023-06-12,NORMAL,457589.61831298127,-42616.209385730355,414973.4089272509,4
2023-06-13,NORMAL,459909.7572018702,-34212.06590879671,425697.69129307347,4
