date,market_state,realized_gross,realized_costs,realized_net,unrealized,total_pnl_gross,total_pnl_net,active
2020-01-01,NORMAL,0.0,2029.0561333333333,0.0,-6083.726567833277,-6083.726567833277,-6083.726567833277,5
2020-01-02,NORMAL,2430.0365333333466,2550.4680986666667,2173.9097973333464,-3606.231977778283,-1176.1954444449366,-1432.3221804449367,5
2020-01-03,NORMAL,4978.388133333341,2818.843136,4592.149728000008,-6153.790554681065,-1175.4024213477242,-1561.6408266810577,5
2020-01-06,NORMAL,5528.946980800007,3206.888336,4890.67844213334,-8130.013095413844,-2601.0661146138373,-3239.3346532805044,5
2020-01-07,NORMAL,6739.540247466684,3470.966770666667,5973.208340800017,236.48004369364935,6976.020291160334,6209.6883844936665,5
2020-01-08,NORMAL,7946.814764133356,4000.330434666667,7052.419489466689,-8696.429646064702,-749.6148819313457,-1644.010156598013,5
2020-01-09,NORMAL,10487.422614133357,4130.442104,9462.915670133358,-3154.973229460971,7332.449384672385,6307.9424406723865,5
2020-01-10,NORMAL,10514.050197528908,4652.454069333333,9239.561421528908,-698.129963565123,9815.920233963785,8541.431457963785,5
2020-01-13,NORMAL,17382.793469351178,5166.7558426666665,15594.002920017845,954.5299464868731,18337.32341583805,16548.53286650472,4
2020-01-14,NORMAL,18861.38806295117,5430.834277333333,16944.534145617836,4430.481847194285,23291.869910145455,21375.01599281212,4
2020-01-15,NORMAL,18861.38806295117,5430.834277333333,16944.534145617836,8264.958151886793,27126.346214837962,25209.49229750463,4
2020-01-16,NORMAL,19908.236834791154,5556.849344,17865.367850791157,12843.664529155038,32751.901363946192,30709.032379946195,4
2020-01-17,NORMAL,23588.56574472449,5951.039448,21287.521723391157,8948.753485310757,32537.319230035246,30236.275208701914,5
2020-01-20,NORMAL,24120.341495391156,7408.020248000001,21693.282407391158,4081.475555118377,28201.817050509533,25774.757962509535,6
2020-01-21,NORMAL,24120.341495391156,7809.320543999999,21693.282407391158,-4931.4321197018,19188.909375689356,16761.850287689358,6
2020-01-22,NORMAL,22102.17136129117,9824.390266666665,19427.178742624503,36939.76787531168,59041.93923660285,56366.94661793618,7
2020-01-23,NORMAL,28082.321817925884,11510.944626666667,24521.127129925884,-28061.12413045796,21.19768746792397,-3539.9970005320756,6
2020-01-24,NORMAL,32388.534351166192,12415.905189333334,28319.18279383286,-16318.12049105925,16070.413860106943,12001.062302773611,7
2020-01-27,NORMAL,32388.534351166192,12944.227346666665,28319.18279383286,-48690.21674930828,-16301.68239814209,-20371.03395547542,7
2020-01-28,NORMAL,35819.12540627729,13731.731336,31617.613878277294,-89913.60124300844,-54094.475836731144,-58295.98736473115,7
2020-01-29,NORMAL,39425.43401267727,14004.402976,35091.7625140106,-75056.55624010375,-35631.12222742647,-39964.79372609314,7
2020-01-30,NORMAL,37443.18527464751,14387.310066666665,32989.643613314176,-95771.8180384143,-58328.63276376679,-62782.17442510013,7
2020-01-31,NORMAL,34983.78727580132,15149.034439999998,30410.37545180132,-139359.04486630432,-104375.257590503,-108948.669414503,7
2020-02-01,NORMAL,35792.18926157464,16565.502832,31092.762370907974,-252258.11406412572,-216465.92480255108,-221165.35169321776,7
2020-02-03,NORMAL,32123.566102902747,18563.420855999997,26930.320452236083,-188641.77619668702,-156518.21009378426,-161711.45574445094,8
