symbol,GridScore,med_turnover_cr,ann_vol,choppiness,efficiency_ratio,hurst,atr_pct,total_ret,max_dd,last_close,days,corp_actions
TATSILV,4.312,114.513,0.633,0.903,0.097,0.458,0.048,1.229,-0.435,23.34,238,0
SILVERCASE,4.081,25.016,0.604,0.899,0.101,0.455,0.049,1.231,-0.461,24.45,238,0
SILVERAG,4.075,11.035,0.703,0.914,0.086,0.44,0.039,0.86,-0.453,233.89,186,0
GROWWSLVR,3.76,8.418,0.635,0.896,0.104,0.423,0.038,1.331,-0.417,23.56,238,1
MOSILVER,3.588,2.32,0.638,0.901,0.099,0.456,0.038,1.079,-0.473,237.65,205,0
SILVER1,3.501,16.887,0.621,0.904,0.096,0.451,0.038,1.162,-0.474,23.33,238,1
SILVER,3.501,37.71,0.618,0.902,0.098,0.448,0.037,1.227,-0.451,240.19,238,0
SBISILVER,3.395,39.112,0.612,0.901,0.099,0.445,0.036,1.215,-0.452,235.36,238,0
HDFCSILVER,3.381,89.061,0.649,0.905,0.095,0.438,0.033,1.215,-0.46,229.89,238,0
AXISILVER,3.357,15.114,0.607,0.9,0.1,0.447,0.037,1.225,-0.462,238.95,238,0
ESILVER,3.318,3.794,0.592,0.9,0.1,0.458,0.036,1.217,-0.445,240.19,238,0
SILVERIETF,3.22,109.711,0.584,0.897,0.103,0.458,0.036,1.229,-0.454,240.38,238,0
SILVERADD,3.173,10.924,0.604,0.9,0.1,0.45,0.034,1.224,-0.454,231.83,238,0
SILVERBEES,2.853,644.88,0.608,0.901,0.099,0.451,0.028,1.224,-0.45,229.99,238,0
TATAGOLD,2.56,74.924,0.323,0.88,0.12,0.384,0.046,0.509,-0.247,14.34,238,0
GOLDCASE,2.067,17.96,0.318,0.881,0.119,0.392,0.039,0.508,-0.243,23.23,238,0
AXISGOLD,1.619,14.811,0.364,0.897,0.103,0.362,0.027,0.503,-0.26,122.86,238,0
METAL,1.485,3.903,0.24,0.879,0.121,0.435,0.035,0.367,-0.13,13.12,238,0
LICMFGOLD,1.344,3.766,0.356,0.887,0.113,0.364,0.023,0.525,-0.242,133.7,238,1
SETFGOLD,1.341,70.394,0.314,0.881,0.119,0.397,0.028,0.506,-0.248,125.96,238,0
GOLDIETF,1.328,72.147,0.326,0.885,0.115,0.389,0.027,0.511,-0.26,126.39,238,0
GOLD1,1.311,26.722,0.319,0.881,0.119,0.386,0.026,0.508,-0.241,123.15,238,0
BSLGOLDETF,1.268,4.797,0.325,0.881,0.119,0.399,0.024,0.514,-0.234,129.95,238,0
HDFCGOLD,1.227,63.427,0.326,0.882,0.118,0.385,0.025,0.507,-0.248,126.09,238,0
METALIETF,1.136,12.027,0.224,0.875,0.125,0.443,0.031,0.364,-0.134,13.07,238,0
EGOLD,1.03,2.338,0.305,0.878,0.122,0.409,0.023,0.503,-0.24,147.55,238,0
GOLDBEES,1.017,345.467,0.322,0.882,0.118,0.388,0.021,0.507,-0.244,122.12,238,0
GROWWGOLD,1.011,4.813,0.321,0.88,0.12,0.387,0.021,0.52,-0.242,14.41,238,1
MOCAPITAL,0.969,2.738,0.248,0.939,0.061,0.444,0.03,0.18,-0.141,55.68,238,0
HNGSNGBEES,0.88,7.435,0.278,0.932,0.068,0.503,0.026,0.268,-0.204,489.45,238,0
GOLDETF,0.793,16.861,0.304,0.874,0.126,0.401,0.02,0.51,-0.238,143.6,238,0
PSUBNKBEES,0.572,29.164,0.238,0.929,0.071,0.553,0.027,0.212,-0.204,98.21,238,0
PSUBANK,0.524,2.15,0.238,0.928,0.072,0.554,0.026,0.213,-0.2,881.12,238,0
MON100,0.511,19.689,0.218,0.759,0.241,0.64,0.022,0.727,-0.13,331.76,238,0
MODEFENCE,0.418,22.178,0.255,0.974,0.026,0.49,0.027,0.067,-0.198,104.4,238,0
GROWWDEFNC,0.357,2.77,0.251,0.975,0.025,0.494,0.026,0.063,-0.194,94.86,238,0
PHARMABEES,0.295,10.152,0.141,0.932,0.068,0.451,0.03,0.107,-0.075,24.9,238,0
AUTOBEES,-0.048,6.795,0.207,0.945,0.055,0.483,0.021,0.135,-0.178,275.99,238,0
MIDCAPETF,-0.063,5.303,0.164,0.972,0.028,0.493,0.026,0.049,-0.14,23.38,238,0
CPSEETF,-0.1,11.508,0.141,0.965,0.035,0.527,0.026,0.055,-0.11,99.36,238,0
NEXT50IETF,-0.236,4.522,0.165,0.964,0.036,0.501,0.023,0.063,-0.143,76.6,238,0
MIDCAPIETF,-0.287,2.273,0.163,0.973,0.027,0.496,0.022,0.048,-0.138,23.69,238,0
JUNIORBEES,-0.297,24.123,0.164,0.963,0.037,0.509,0.022,0.064,-0.143,783.47,238,0
ALPHA,-0.311,5.474,0.189,0.998,0.002,0.457,0.022,0.004,-0.172,51.58,238,0
MOM100,-0.316,2.716,0.167,0.972,0.028,0.498,0.022,0.05,-0.142,67.34,238,0
