symbol,GridScore,med_turnover_cr,ann_vol,choppiness,efficiency_ratio,hurst,atr_pct,total_ret,max_dd,last_close,days,corp_actions
INFOBEAN,7.26,8.506,0.778,0.951,0.049,0.577,0.065,0.726,-0.523,169.03,238,1
ROSSTECH,5.29,6.109,0.66,0.887,0.113,0.436,0.06,1.167,-0.277,1042.3,229,0
APEX,5.228,11.378,0.678,0.919,0.081,0.488,0.05,0.691,-0.27,424.75,238,0
YATRA,5.094,21.48,0.673,0.971,0.029,0.529,0.057,0.303,-0.528,111.13,238,0
KIOCL,4.75,8.951,0.696,0.955,0.045,0.419,0.053,0.364,-0.527,409.15,221,0
JAYNECOIND,4.684,51.179,0.663,0.887,0.113,0.468,0.054,1.559,-0.3,90.31,238,0
KMEW,4.412,15.476,0.599,0.889,0.111,0.37,0.058,1.413,-0.288,2054.3,238,1
GARUDA,4.374,16.018,0.621,0.963,0.037,0.467,0.051,0.382,-0.452,170.33,238,0
PFOCUS,4.289,67.326,0.567,0.888,0.112,0.445,0.057,0.929,-0.201,288.8,212,0
QPOWER,4.168,59.659,0.608,0.925,0.075,0.576,0.056,0.614,-0.443,1052.9,216,0
LUMAXTECH,4.015,25.255,0.537,0.939,0.061,0.357,0.05,0.453,-0.22,1672.4,238,0
DREDGECORP,3.92,13.176,0.613,0.921,0.079,0.4,0.049,0.591,-0.342,1137.2,238,0
GMDCLTD,3.874,187.947,0.562,0.938,0.062,0.412,0.047,0.473,-0.255,619.05,238,0
ICIL,3.796,6.875,0.615,0.933,0.067,0.455,0.047,0.385,-0.312,405.85,238,0
RICOAUTO,3.777,20.08,0.594,0.898,0.102,0.45,0.049,0.921,-0.272,144.43,238,0
GALLANTT,3.705,11.45,0.584,0.941,0.059,0.552,0.048,0.399,-0.342,738.8,238,0
SHARDACROP,3.698,22.943,0.574,0.982,0.018,0.536,0.048,0.128,-0.341,908.25,238,0
JSLL,3.675,14.215,0.606,0.996,0.004,0.294,0.048,0.025,-0.413,549.45,209,0
PANACEABIO,3.404,5.015,0.57,0.947,0.053,0.415,0.049,0.303,-0.356,534.85,238,0
